Threads,Function,Min time,Average time,Standard Deviation
1,101.0,107.4,7.5250423670742626
2,53.0,55.08,2.4023557462027
3,36.0,37.83,1.8805490279343016
4,27.0,28.49,1.3218826488662818
5,22.0,24.98,2.150780924654714
6,19.0,19.86,1.302832966029697
7,19.0,21.54,1.2666666666666666
8,18.0,21.23,1.5232540924950868
9,18.0,20.28,1.1983153157494049
10,16.0,18.89,0.8749603165604458
11,16.0,18.65,1.1135075167680684
12,16.0,19.38,3.492502792779951
13,16.0,20.87,1.7035613320691487
14,19.0,22.3,2.245084417211086
15,18.0,20.61,1.7517379537436124
16,17.0,19.42,0.7936617603859908